Item,Task Domain,Question,Option A,Option B,Option C,Option D,Correct Answer,Notes
Q1,Task 1 — History,"Episodes of severe burning pain in the hands and feet, present since childhood, in this disease are most characteristically triggered by:","Heat, fever, and physical exertion","Cold exposure, stress, and certain foods",Sustained pressure on the affected limbs,"Prolonged immobility, such as long flights or bed rest",A,Naive guess: cold (Raynaud's / diabetic neuropathy paradigm).
Q2,Task 1 — History,A 32-year-old man with this disease is asking about inheritance. Which family-history pattern would most support the diagnosis?,"Both parents unaffected, with approximately 25% of siblings affected regardless of sex","Affected maternal uncles and male cousins, with no father-to-son transmission","Affected men in multiple generations on the father’s side, including father-to-son transmission",No family history of similar symptoms in any relative,B,X-linked. Naive guess: autosomal dominant (option C).
Q3,Task 1 — History,A patient with this disease has a long-standing diagnosis of irritable bowel syndrome with episodic abdominal pain and diarrhea. This gastrointestinal pattern is most likely:,A coincidental functional bowel disorder unrelated to the underlying disease,An adverse effect of the chronic neuropathic-pain medications he takes,"A direct gastrointestinal manifestation of the disease, often predating its diagnosis","A sign of mesenteric ischemia from vascular involvement, warranting urgent mesenteric angiography",C,"GI is part of the disease, not separate."
Q4,Task 2 — Physical Exam,"On physical examination, which of the following dermatologic findings would most strongly support this diagnosis?","Erythematous, silvery-scaled plaques on the extensor surfaces of the elbows and knees","Clusters of small, dark-red papules over the lower abdomen, groin, and upper thighs","Hyperpigmented, velvety thickened patches in the axillae and the posterior neck folds",Firm yellow-orange nodules overlying the Achilles and the extensor tendons of the hands,B,"Angiokeratomas in 'swimming-trunk' distribution. Distractors: psoriasis, acanthosis nigricans, xanthomas."
Q5,Task 2 — Physical Exam,Cornea verticillata (bilateral whorl-like opacities of the corneal epithelium) is observed on slit-lamp examination. Which of the following is true about this finding?,It is pathognomonic for this disease and reliably excludes all other diagnoses,It typically causes progressive visual loss that requires corneal transplantation,"It also occurs with chronic amiodarone, chloroquine, or hydroxychloroquine therapy","It is usually markedly asymmetric, affecting only one eye in the majority of patients",C,Strong AI-vs-Control differentiator. UpToDate explicitly lists drug-induced cornea verticillata.
Q6,Task 2 — Physical Exam,Sensory examination of a patient with this disease typically shows:,"Reduced pinprick and temperature sensation distally, with preserved vibration sense","Reduced vibration and proprioception in the feet, with preserved pinprick and temperature","A patchy, asymmetric sensory deficit consistent with a mononeuritis multiplex pattern",A symmetric 'stocking-glove' loss of all sensory modalities with absent ankle reflexes,A,Small-fiber selective. Naive guess: diabetic stocking-glove (D).
Q7,Task 3 — Workup,"For a male patient with clinical suspicion of this disease, the most appropriate initial confirmatory test is:",Renal biopsy with electron microscopy looking for lamellated inclusion bodies,Whole-exome sequencing performed on a peripheral blood sample,Serum protein electrophoresis with immunofixation,Plasma or leukocyte alpha-galactosidase A enzyme activity assay,D,Distractor C is the amyloid trap.
Q8,Task 3 — Workup,The patient’s 35-year-old sister is being evaluated as a possible carrier. Her plasma alpha-galactosidase A activity is reported as normal. The most appropriate interpretation is:,"Send GLA gene sequencing, because enzyme activity is unreliable in carrier females",She is definitively unaffected and requires no further evaluation or genetic testing,Her diagnosis is confirmed; the normal enzyme activity reflects compensatory pathways,She has a 50% chance of carrying it and should defer testing until she is symptomatic,A,Strongest differentiator. X-inactivation in heterozygous females. UpToDate emphasizes; AI may gloss over.
Q9,Task 3 — Workup,"Which of the following ECG findings is characteristic of cardiac involvement in this disease, particularly in earlier stages?",A prolonged QTc interval with marked T-wave inversion,Right bundle branch block with marked right axis deviation,Pathologic Q waves in the inferior and lateral leads,"A short PR interval, often less than 120 milliseconds",D,Strong differentiator. Case vignette ECG actually shows PR 110 ms; Control reading carefully notices.
Q10,Task 4 — Management,Migalastat (Galafold) for this disease:,Is an oral substrate reduction therapy that inhibits the enzyme glucosylceramide synthase,Is a pharmacologic chaperone that works only in patients with 'amenable' GLA mutations,Is given intravenously every two weeks alongside standard enzyme replacement therapy,Is curative when it is combined with hematopoietic stem-cell transplantation early on,B,Strong differentiator. Distractor A is Gaucher (eliglustat). Migalastat is genotype-restricted.
